,File Names,flm_id,flm_prnt_id,elmt,elmt_non_stnd,elmt_cat,dfcy,dfcy_non_stnd,dfcy_crt,dfcy_crt_non_stnd,elmt_rtg,rec_prty,recn,recn_non_stnd,spmtl_info,refcd_photos,cap,otr_ovhd,otr_supt_leg_or_pl,sgn
0,test_app_additional_comments_pse13.csv,8d84af31-7c55-4ef7-bfbb-ab16b37f5bbb,c1270b8b-67e0-4857-b82f-3c34145efdc1,Grout,sample text,Structure,torque indicator nut still present above base plate.,sample text,15% <= through bolts (total) or adhesive/expansion anchorage nuts (total) missing < 30%,sample text,1,High,Remove cover and inspect.,sample text,sample text,sample text,,,,
1,test_app_additional_comments_sse21.csv,d4f967cb-2a5a-4010-9a22-0cd302de5ed7,c1270b8b-67e0-4857-b82f-3c34145efdc1,Concrete Foundation,a broken bolt,Clearance,Chord connection plate or arm plate broken or cracked.,a broken bolt,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",a broken bolt,2,High,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure.",a broken bolt,a broken bolt,88,,,,
2,test_app_additional_comments_tse15.csv,0d2bf9c0-f1d6-499c-9d07-c1fdd2279e49,c1270b8b-67e0-4857-b82f-3c34145efdc1,Erosion or Undermining,sample text,Attachments,Bullet holes in signal heads.,sample text,15% <= section loss < 30%,sample text,3*,High,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
3,test_app_anchor_bolts_or_structural_studs_sse17.csv,b3b5fb3b-c2f7-4a88-a72f-35108e678f03,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,"2 or more nuts or bolt in a 4 bolt configuration, OR 2 or more nuts or bolts in a 6 bolt configuration, OR 3 or more nuts or bolts in an 8 or more bolt configuration",a broken bolt,3*,Medium,Regrade around affected components.,a broken bolt,a broken bolt,41,,,,
4,test_app_anchor_bolts_pse9.csv,3f3d2595-145b-4222-a3b7-38e07ed3285f,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling at the transformer base.,sample text,15% <= section loss < 30%,sample text,2*,Medium,Lower/Retrofit/Replace affected components.,sample text,sample text,sample text,,,,
5,test_app_anchor_bolts_tse11.csv,cbfd960f-d503-47c7-8bad-3328416d56d1,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,some evidence of standing water,sample text,2*,Low,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure. Project Manager notified.",sample text,sample text,sample text,,,,
6,test_app_arm_or_wire_splices_tse10.csv,fba6ba0b-e98f-4f62-b873-62f4b8e115e9,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Connection hardware loose or missing in arm compression splice.,sample text,some evidence of standing water,sample text,3,High,No recommendation.,sample text,sample text,sample text,,,,
7,test_app_arm_or_wire_tse9.csv,c06e070f-d6e7-4ced-adc5-70da3d9edb0e,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,not conditional,sample text,2*,High,"Regrade, install retaining wall, or relocate structure.",sample text,sample text,sample text,,,,
8,test_app_arm_to_support_leg_or_wire_to_pole_connection_tse8.csv,ca772051-bb8c-4071-8490-dd0000c8ad1a,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,top of foundation submerged,sample text,3*,Medium,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure. Project Manager notified.",sample text,sample text,vsample text,,,,
9,test_app_chord_or_arm_splices_sse11.csv,fe30296f-c83c-4fb9-8c05-0d25e4eb9b29,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Connection hardware for luminaires, conduits, or light arms are loose, missing, or broken",a broken bolt,25% <= section loss < 50%,a broken bolt,1*,Low,"Regrade, install retaining wall, or relocate structure.",a broken bolt,a broken bolt,59,,,,
